#OTUID	OW1	OW2	OW3	OW4	OW5	OW6	OC1	OC2	OC3	OC4	OC5	OC6
ko03010	297734	438467	438857	336883	426352	239768	423939	418765	423555	425985	421860	397743
ko02010	341796	302750	297312	438577	382581	431519	340727	363041	358820	313063	337822	433978
ko00970	161573	307646	305589	248872	313696	167308	310503	317524	321770	300129	317527	316548
ko00230	220667	255056	258793	260932	266325	219219	274068	276105	278102	256895	268704	286930
ko00010	173591	243034	248656	226160	262356	177690	258586	262560	267574	246302	253834	265547
ko00620	156690	205473	210948	229459	227207	160025	220063	223950	229075	209848	217693	243789
ko00520	199298	191928	201413	191496	206779	155484	210416	213708	211495	204787	209665	206932
ko02024	169259	184912	182431	236718	198814	198677	196898	197640	198423	185605	194672	227067
ko00240	177609	191597	196293	176341	196123	152521	197938	197809	202606	189204	196827	195795
ko00720	147920	181842	194209	174212	197914	147516	198404	201467	207208	190274	193718	196749
ko03440	138819	189340	189948	160803	191956	132225	188659	187863	192234	183684	186131	182087
ko00500	130691	160699	170670	181448	190303	160664	189606	198876	179352	177308	183022	192490
ko02020	197555	145259	164832	201855	161508	173360	175071	176853	172077	171383	170285	177167
ko03430	118182	170692	165367	146299	169419	108751	165332	164605	169268	161219	166821	163520
ko00270	138748	152683	150480	150156	159291	156781	162414	164676	161626	152781	154751	163547
ko00550	114623	162978	159286	125660	165032	107921	161078	157902	159443	149142	156005	153032
ko00680	102194	152207	143914	128382	155381	163955	146520	149531	152640	141603	141810	160665
ko00250	122894	138226	143536	154301	142203	125440	153486	154421	152864	144336	146418	158533
ko00030	109781	126211	125904	128673	139532	117350	136812	138342	137661	124839	130334	146994
ko00260	112246	122057	128623	135069	130278	105674	137643	140531	138346	129265	134448	140246
ko03030	98385	142733	138641	126908	138841	89070	134168	133438	138587	132059	134361	135880
ko00052	119870	105456	119174	115427	130361	108727	127728	135704	124786	121845	122807	126005
ko00650	84882	103305	113672	130039	112100	81214	116421	117998	123710	115731	119324	129753
ko00020	89395	108990	116625	116692	113113	77126	117433	120654	121522	115832	116888	122401
ko00710	84260	113830	117891	97514	119846	78892	119612	120686	122464	112486	116495	116524
ko03018	75594	112304	115723	102190	114794	67006	119397	119857	122173	115901	120518	117364
ko00630	91068	97964	100023	146657	101807	82813	106786	109940	111910	101385	107076	127586
ko00051	99713	98234	106336	101489	101372	78007	108334	108675	107376	101830	102375	106237
ko03060	74530	100744	102703	88272	97836	64625	102410	100409	101253	101192	102488	99183
ko00190	101772	88640	89111	115337	84646	96171	95516	91494	92452	88288	92735	96437
ko03420	55857	101849	99198	94918	101972	66182	100730	101372	103119	96267	102627	107847
ko00300	76747	90132	95928	87715	98068	80971	99091	100375	97687	92173	95618	96792
ko03070	75525	94543	99354	80117	90366	56932	99190	96465	97001	98760	100415	90435
ko00220	62095	78536	83739	100652	87854	80580	92594	94454	93611	86316	89655	99412
ko00670	75443	82307	86659	82792	89006	70119	89252	92216	91870	85126	87554	86652
ko04112	71531	85905	86698	68228	87373	60315	88984	87935	89030	84280	88059	83026
ko00640	63507	76424	77734	120370	80261	59966	78467	77712	82233	75956	79485	103523
ko00040	65239	73801	77575	71420	83955	63459	84167	88045	82507	81184	79924	86646
ko00541	98784	71673	77271	79492	68999	61528	74658	74232	71189	76858	77239	72504
ko00400	73957	71602	69768	76230	77185	87758	74379	74185	75314	69962	71998	79253
ko00760	73230	67154	66757	69090	65100	59120	70029	70511	68788	66429	68529	69824
ko00730	69576	68277	66731	55925	64416	59889	72458	72079	72065	70099	68645	65300
ko03020	28921	72146	71495	53991	73671	35364	71671	74702	74636	69956	72776	71869
ko03410	52500	68912	65113	66796	69157	52681	64856	63767	65719	61310	64727	72253
ko01501	60223	56007	64639	56420	64213	42214	69428	69925	69912	64465	67204	61984
ko00983	65148	62872	66623	62229	62603	50762	63594	61939	62850	59530	62637	63794
ko00900	59018	61158	64491	61732	59961	54119	63037	61874	63822	61020	62517	62294
ko00564	63910	63014	62393	61158	64473	58924	61073	61289	61480	55840	57700	61799
ko00511	69499	46616	64815	48596	56574	26203	69712	74495	69229	70578	65690	52112
ko00770	59396	51428	52490	66454	50875	61521	59011	59860	58536	56043	56512	60001
