#OTUID	CW1	CW2	CW3	CW4	CW5	CW6	CC1	CC2	CC3	CC4	CC5	CC6
ko03010	461452	447119	447147	414656	388016	394112	408481	402206	408629	437239	403307	418998
ko02010	340741	364105	344649	380100	322853	319975	355978	382229	355672	402187	396488	380633
ko00970	333829	324795	316194	302430	267066	265702	294489	304717	300449	335210	306771	318923
ko00230	282596	279840	268821	273948	255073	255102	267569	287067	273826	287106	276914	274519
ko00010	271741	264394	247807	252980	221600	220562	250341	266331	259828	280004	263125	268707
ko00620	232281	225637	209080	219253	190978	190460	215311	234025	225474	244950	225260	231288
ko00520	216551	213423	206277	208088	192327	194273	214612	219869	210858	218064	217314	210737
ko00240	208774	206727	201861	205117	191460	190808	199711	202158	194414	202605	203517	201886
ko02024	201785	205648	201785	203912	180397	177289	188633	209667	201167	215999	202398	197201
ko00720	212543	203440	196215	204133	167433	165405	189367	211706	201496	215488	199906	209087
ko03440	196824	197525	196235	187692	174875	174355	184958	186640	179002	196633	187875	195006
ko00500	194565	197206	178416	188988	160394	158776	178162	196157	185195	194406	181999	194367
ko02020	167656	168728	174125	164085	141381	140263	166030	176813	177778	176323	166954	176864
ko03430	175284	173731	172310	164775	156543	156948	165115	163513	156242	171621	166637	172935
ko00270	162928	162633	159136	165305	160858	163671	163964	170500	164465	166638	168178	164537
ko00680	158277	154657	144275	167904	197314	201184	143544	154158	149304	160189	153314	160103
ko00550	168755	169841	168883	157501	145082	143084	160247	153378	148667	163408	164601	163542
ko00250	156470	151560	141529	148151	140146	142447	143450	161131	155367	158162	145468	147778
ko00030	142153	143835	135043	140853	124960	126417	139190	144724	136124	148788	145474	145901
ko03030	140910	141900	140956	137803	136004	138005	132101	132384	126260	140232	133726	140538
ko00260	139129	134065	132536	138161	120569	121902	133592	148236	140220	142410	137553	133121
ko00052	128495	131689	126777	129109	112408	111980	129403	137159	127360	132471	132277	131283
ko00710	124946	124016	118855	118844	98516	97490	117315	121489	118239	126608	121699	121363
ko00020	124367	115834	114007	114738	103488	103849	113882	125613	123416	125897	115593	115822
ko00650	121549	116211	114031	112245	96875	97546	112234	124921	119250	126616	115124	114738
ko03018	123982	119241	117811	114065	95917	95584	108921	118674	113322	124805	113616	117845
ko00630	110207	103898	105127	105663	93695	95128	108130	121748	113820	117272	111159	107708
ko00051	111350	107298	105451	105063	93308	93592	106272	113934	110844	111959	108300	106884
ko00300	100292	100502	99322	104980	93965	95043	98187	104273	99073	101388	101270	99685
ko03060	107229	104948	103439	98105	93345	90889	97778	100851	100790	103471	97602	96472
ko03420	106152	103549	99728	97783	92997	91570	95961	98716	94696	106969	99523	103087
ko03070	101352	98715	101091	91854	83630	81744	95364	94520	95589	97370	94975	96703
ko00220	93385	91081	87402	90282	86227	87880	90698	98083	95278	97283	91573	91722
ko00190	95726	88481	100804	95606	82482	81160	88027	103644	95541	93577	87763	87308
ko00670	93374	93151	93649	93931	76476	75420	90910	95038	90007	93354	94303	93764
ko04112	92534	91870	92159	87847	80945	79942	87761	84816	84004	88784	88776	88409
ko00040	86154	83861	78458	83996	77730	79570	93691	89514	87941	90665	95405	87953
ko00640	84284	80361	79580	77332	71738	71876	77450	88578	84921	90717	80830	85625
ko00400	77146	77721	74431	79019	88924	90024	79123	79370	77236	77283	79413	77137
ko00541	78823	71481	73781	73666	80236	82802	75547	77286	77268	70847	72293	68856
ko03020	77412	76669	70941	69585	64066	62440	66889	69284	68462	78729	71200	74320
ko00730	70249	67472	69640	66216	65047	65341	76079	70358	71716	71039	77040	76873
ko00760	72911	69421	64951	68261	67972	68183	68647	73745	70659	70152	68463	69599
ko03410	67769	68930	68727	67921	70737	69453	65268	65431	62381	69460	68262	68674
ko01501	70011	70545	68504	69232	50909	50175	64017	72420	67675	69875	67498	66422
ko00564	65348	66987	66123	68453	65408	66018	64620	65719	62123	63255	65504	65626
ko00983	67011	67371	66299	66994	61437	60772	64340	67412	63381	64932	63717	62781
ko00900	65689	65731	68367	65311	64389	65274	62590	67111	64339	63768	62683	60592
ko00511	67155	63554	60473	62197	46821	46942	71915	75435	72684	67921	68826	64525
ko00770	57097	54945	63826	55159	60292	61249	58237	62661	60610	58222	58475	52745
